date_id,full_date,day,month,month_name,quarter,year,is_ramadan,is_weekend
1,2022-01-01,1,1,January,1,2022,False,True
2,2022-01-02,2,1,January,1,2022,False,False
3,2022-01-03,3,1,January,1,2022,False,False
4,2022-01-04,4,1,January,1,2022,False,False
5,2022-01-05,5,1,January,1,2022,False,False
6,2022-01-06,6,1,January,1,2022,False,False
7,2022-01-07,7,1,January,1,2022,False,True
8,2022-01-08,8,1,January,1,2022,False,True
9,2022-01-09,9,1,January,1,2022,False,False
10,2022-01-10,10,1,January,1,2022,False,False
11,2022-01-11,11,1,January,1,2022,False,False
12,2022-01-12,12,1,January,1,2022,False,False
13,2022-01-13,13,1,January,1,2022,False,False
14,2022-01-14,14,1,January,1,2022,False,True
15,2022-01-15,15,1,January,1,2022,False,True
16,2022-01-16,16,1,January,1,2022,False,False
17,2022-01-17,17,1,January,1,2022,False,False
18,2022-01-18,18,1,January,1,2022,False,False
19,2022-01-19,19,1,January,1,2022,False,False
20,2022-01-20,20,1,January,1,2022,False,False
21,2022-01-21,21,1,January,1,2022,False,True
22,2022-01-22,22,1,January,1,2022,False,True
23,2022-01-23,23,1,January,1,2022,False,False
24,2022-01-24,24,1,January,1,2022,False,False
25,2022-01-25,25,1,January,1,2022,False,False
26,2022-01-26,26,1,January,1,2022,False,False
27,2022-01-27,27,1,January,1,2022,False,False
28,2022-01-28,28,1,January,1,2022,False,True
29,2022-01-29,29,1,January,1,2022,False,True
30,2022-01-30,30,1,January,1,2022,False,False
31,2022-01-31,31,1,January,1,2022,False,False
32,2022-02-01,1,2,February,1,2022,False,False
33,2022-02-02,2,2,February,1,2022,False,False
34,2022-02-03,3,2,February,1,2022,False,False
35,2022-02-04,4,2,February,1,2022,False,True
36,2022-02-05,5,2,February,1,2022,False,True
37,2022-02-06,6,2,February,1,2022,False,False
38,2022-02-07,7,2,February,1,2022,False,False
39,2022-02-08,8,2,February,1,2022,False,False
40,2022-02-09,9,2,February,1,2022,False,False
41,2022-02-10,10,2,February,1,2022,False,False
42,2022-02-11,11,2,February,1,2022,False,True
